English,chinese
grown,長大的
grandmother,祖母
fake,假
opening,開盤
Sally,出擊
Stephanie,斯蒂芬妮
expected,預期
eventually,終於
must've,意有所指
ideas,思路
exciting,扣人心弦
covered,覆蓋
Parker,帕克
de,德
familiar,熟
bomb,炸彈
bout,回合
television,電視
harmony or Harmony,和諧或和諧
color,顏色
heavy,重
schedule,時間表
records,記錄
H.,H。
dollar,美元
capable,能
master,主
numbers,數字
Toby,托比
practically,幾乎
including,包含
correct,正確
clue,線索
forgotten,忘記了
immediately,立即
appointment,約定
social,社會
nature,性質
?,?
deserves,值得
west or West,西或西
Blake,布萊克
teacher,老師
threat,威脅
Frankie,弗蘭基
bloody,血腥
lonely,孤獨
Kelly,黃綠色
ordered,有序
shame,恥辱
Brittany,布列塔尼
local,本地
jacket,夾克
hook,鉤
destroyed,銷毀
scary,害怕
loser,失敗者
investigation,調查
above,以上
Jamal,賈馬爾
invite,邀請
shooting,射擊
merry,快活
port,港口
precious,珍貴
lesson,課
Roy,羅伊
criminal,刑事
growing,生長
caused,造成
victim,受害者
professor,教授
followed,其次
funeral,葬禮
nothing's,沒事的
dean,院長
considering,考慮
burning,燃燒
couch,長椅
strength,強度
harder,更難
loss,失利
view,視圖
Gia,GIA
beauty,美女
sisters,姐妹
everybody's,大家的
several,一些
pushed,推
Nicholas,尼古拉斯
written,書面
somebody's,某人的
shock,休克
pushing,推動
heat,熱
chocolate,巧克力
greatest,最大
Holden,霍爾登
miserable,慘
Corinthos,Corinthos
nightmare,惡夢
energy,能源
brings,帶來
Zander,桑德爾
character,字符
became,成為
famous,著名
enemy,敵人
crash,緊急
chances,機會
sending,發出
recognize,認識
healthy,健康
boring,無聊
feed,飼料
engaged,訂婚
Sarah,莎拉
percent,百分
headed,當家
Brandon,布蘭登
lines,線
treated,治療
purpose,目的
north or North,北和北
knife,刀
rights,權利
drag,拖動
San,聖
fan,風扇
badly,慘
speed,速度
Santa,聖誕老人
hire,聘請
curious,好奇
paint,塗料
pardon,赦免
Jackson,傑克遜
built,內置
behavior,行為
closet,壁櫥
candy or Candy,糖果或糖果
Helena,海倫娜
warn,警告
gorgeous,華麗
post,崗位
